user,transaction_date,sales_amount,join_date,region
99,1/5/13,35.01,12/12/10,B
537,1/5/13,17.31,6/1/11,C
2004,1/5/13,49.76,9/28/10,C
1408,1/5/13,14.38,5/15/10,B
2124,1/5/13,19.01,1/5/13,B
1889,1/5/13,17.77,1/5/13,H
2244,1/5/13,17.45,10/28/12,J
2488,1/5/13,34.21,7/1/13,S
2117,1/5/13,20.65,7/2/13,I
2544,1/5/13,74.81,7/1/13,F
1986,1/5/13,14.05,7/2/13,B
4961,1/5/13,9.85,3/21/14,G
2957,1/5/13,17.36,7/2/13,I
2202,1/5/13,17.48,7/1/13,B
1694,1/5/13,34.23,7/1/13,B
4970,1/5/13,56.53,7/2/13,H
5997,1/5/13,20.73,4/14/14,H
6849,1/5/13,12.22,5/4/14,G
6873,1/5/13,44.63,8/21/08,A
7545,1/5/13,7.93,1/8/08,H
6890,1/5/13,17.96,5/16/12,L
9357,1/5/13,2.9,11/15/11,O
7545,1/5/13,1.98,1/8/08,H
357,1/6/13,36.53,1/9/10,E
9,1/6/13,13.94,1/1/01,B
628,1/6/13,7.36,11/6/08,C
6,1/6/13,5.7,11/8/07,D
960,1/6/13,14.71,4/29/11,M
751,1/6/13,91.26,10/28/09,E
96,1/6/13,13.98,1/11/08,M
880,1/6/13,16.16,4/24/09,C
1058,1/6/13,19.79,6/26/09,M
124,1/6/13,61.81,2/11/10,J
554,1/6/13,19.12,9/27/09,B
951,1/6/13,8.93,4/16/11,I
1882,1/6/13,39.63,1/22/12,M
377,1/6/13,19.64,4/16/11,H
2993,1/6/13,23.1,1/6/13,C
3064,1/6/13,9.5,1/6/13,D
3081,1/6/13,30.57,1/6/13,I
4177,1/6/13,128.68,7/1/13,M
4466,1/6/13,8.98,7/25/13,D
3870,1/6/13,81.44,11/30/14,I
8909,1/6/13,6.1,3/3/12,S
424,1/7/13,22.23,12/18/08,E
424,1/7/13,4.05,12/18/08,E
642,1/7/13,14.02,10/18/10,G
238,1/7/13,102.91,10/13/09,B
527,1/7/13,16.12,8/1/10,C
1000,1/7/13,69.05,9/21/11,D
174,1/7/13,18.1,12/24/99,B
440,1/7/13,25.62,6/13/11,C
84,1/7/13,91.6,11/21/08,B
32,1/7/13,33.63,8/5/08,B
548,1/7/13,3.28,5/28/09,B
321,1/7/13,14.05,11/22/10,B
4,1/7/13,51.63,7/28/11,B
1637,1/7/13,54.79,4/27/10,C
3057,1/7/13,13.22,1/7/13,E
1576,1/7/13,11.89,5/30/13,C
5930,1/7/13,23.51,11/4/13,I
6328,1/7/13,27.27,3/30/11,B
7622,1/7/13,16.53,11/12/14,G
9839,1/7/13,3.88,1/7/13,G
21,1/8/13,21.81,1/1/01,B
76,1/8/13,14.59,12/17/04,B
805,1/8/13,50.83,2/13/12,D
446,1/8/13,3.08,12/22/07,E
170,1/8/13,14.83,7/7/09,I
612,1/8/13,4.96,5/18/09,B
1366,1/8/13,35.12,2/16/12,B
654,1/8/13,39.63,11/3/12,I
357,1/8/13,27.23,1/9/10,B
2187,1/8/13,0.57,11/27/11,I
1233,1/8/13,3.26,12/7/04,B
3029,1/8/13,51.22,1/8/13,I
2983,1/8/13,52.06,7/1/13,C
3062,1/8/13,24.42,12/4/14,O
1694,1/8/13,108,7/1/13,B
4151,1/8/13,6.76,7/25/13,G
2705,1/8/13,7.98,7/1/13,C
4253,1/8/13,8.72,12/20/14,D
5372,1/8/13,20.05,3/21/14,L
3308,1/8/13,24.38,7/25/13,L
5713,1/8/13,171.98,12/3/13,C
5713,1/8/13,44.21,12/3/13,C
8260,1/8/13,11.3,12/14/12,M
8998,1/8/13,19.83,8/13/03,D
8998,1/8/13,52.06,8/13/03,D
6506,1/8/13,23.23,12/14/10,C
9795,1/8/13,7.36,12/22/10,H
170,1/9/13,14.83,7/7/09,I
73,1/9/13,25.96,10/21/09,M
281,1/9/13,9.5,3/19/11,B
387,1/9/13,38.04,1/17/04,M
723,1/9/13,49.6,2/26/12,A
4,1/9/13,72,7/28/11,B
723,1/9/13,17.69,2/26/12,A
1484,1/9/13,4.12,1/9/13,C
651,1/9/13,8.26,6/13/11,H
4260,1/9/13,26.85,5/2/14,A
4413,1/9/13,12.8,7/2/13,I
4260,1/9/13,26.44,5/2/14,A
7251,1/9/13,42.19,11/12/14,G
9046,1/9/13,11.48,1/9/13,G
9330,1/9/13,6.81,5/13/10,G
8977,1/9/13,6.53,1/5/11,G
6963,1/9/13,12.8,9/12/04,P
7880,1/9/13,11.39,6/15/10,C
9070,1/9/13,30.99,1/28/11,C
9503,1/9/13,16.81,3/10/11,I
1283,1/10/13,34.22,8/7/99,B
612,1/10/13,11.27,5/18/09,B
326,1/10/13,8.67,3/25/11,K
1496,1/10/13,77.64,11/10/10,I
525,1/10/13,16.49,11/14/13,C
899,1/10/13,33.82,9/11/12,C
1720,1/10/13,13.14,4/20/12,E
1756,1/10/13,52.06,7/1/13,G
4399,1/10/13,20.24,9/17/13,B
4615,1/10/13,24.38,7/2/13,S
6915,1/10/13,14.75,7/3/12,G
7967,1/10/13,13.2,8/13/05,F
8410,1/10/13,75.12,3/7/12,A
9407,1/10/13,16.45,11/7/06,S
7895,1/10/13,37.95,4/13/11,B
254,1/11/13,58.64,1/6/07,B
299,1/11/13,15.66,3/12/07,C
421,1/11/13,16.94,11/6/09,C
560,1/11/13,11.55,7/24/09,B
726,1/11/13,3.29,4/28/11,H
249,1/11/13,56.99,8/11/09,B
1171,1/11/13,8.78,4/25/09,M
1335,1/11/13,92.94,3/27/07,B
657,1/11/13,5.78,10/2/09,B
726,1/11/13,2.02,4/28/11,H
1730,1/11/13,51.24,10/16/10,I
793,1/11/13,31.24,8/4/11,C
1974,1/11/13,24.68,12/22/10,H
1873,1/11/13,36.82,12/22/14,I
1694,1/11/13,42.56,7/1/13,B
3449,1/11/13,110.32,7/1/13,C
3641,1/11/13,30.58,8/1/13,A
4158,1/11/13,33.18,8/1/13,B
5356,1/11/13,8.43,9/2/13,E
4943,1/11/13,69.76,11/28/13,D
4163,1/11/13,9.08,7/2/13,B
4984,1/11/13,24.38,10/4/13,N
7025,1/11/13,8.26,11/9/14,L
6043,1/11/13,10.74,12/18/13,F
6868,1/11/13,13.16,1/11/13,D
4717,1/11/13,100,11/4/13,S
5172,1/11/13,11.07,8/1/13,H
8766,1/11/13,7.43,2/18/09,B
7465,1/11/13,14.46,7/14/03,S
7935,1/11/13,12.8,5/18/12,E
9589,1/11/13,10.12,10/8/12,M
9229,1/11/13,4.76,7/20/10,D
9660,1/11/13,64.5,1/11/13,A
185,1/12/13,50.68,8/10/09,C
25,1/12/13,21.89,1/1/01,B
96,1/12/13,92.07,1/11/08,M
784,1/12/13,14.84,1/29/08,H
156,1/12/13,6.2,6/17/02,B
856,1/12/13,26.36,1/25/05,B
879,1/12/13,39.63,1/17/09,B
378,1/12/13,73.76,3/18/04,B
1007,1/12/13,34.67,8/29/10,F
326,1/12/13,4.32,3/25/11,K
965,1/12/13,58.41,4/22/04,H
1649,1/12/13,36.77,7/1/13,S
1820,1/12/13,26.04,7/2/13,C
28,1/12/13,32.67,4/16/11,J
672,1/12/13,37.48,7/11/09,E
147,1/12/13,26.79,6/24/11,I
1960,1/12/13,66.12,11/20/14,D
147,1/12/13,26.46,6/24/11,I
1639,1/12/13,10.31,7/1/13,G
1820,1/12/13,14.8,7/2/13,C
4063,1/12/13,20.89,3/21/14,G
5189,1/12/13,21.8,3/3/15,C
5450,1/12/13,37.59,1/29/14,G
5042,1/12/13,17.34,10/30/13,L
5142,1/12/13,44.83,9/21/13,C
4940,1/12/13,72.65,9/2/13,O
4001,1/12/13,35.33,7/2/13,A
6679,1/12/13,12.81,11/25/06,B
4377,1/12/13,38.84,8/21/13,L
8619,1/12/13,5.11,5/30/12,I
8500,1/12/13,17.1,3/21/14,P
7416,1/12/13,16.52,12/3/12,H
8457,1/12/13,12.27,12/16/10,F
9708,1/12/13,9.08,9/11/12,G
9763,1/12/13,38.43,1/12/13,H
9502,1/12/13,41.23,8/3/06,H
6890,1/12/13,11.18,5/16/12,L
177,1/13/13,6.61,1/1/01,B
706,1/13/13,19.88,5/16/12,D
658,1/13/13,135.38,11/29/10,I
412,1/13/13,3.72,10/10/09,I
525,1/13/13,16.12,11/14/13,C
2258,1/13/13,123.52,1/13/13,C
4136,1/13/13,17.62,8/1/13,L
2461,1/13/13,51.33,11/12/14,A
4126,1/13/13,8.26,7/25/13,I
5379,1/13/13,59.89,11/28/13,C
5860,1/13/13,14.05,6/28/14,H
9463,1/13/13,74.32,11/9/14,I
9388,1/13/13,60.17,1/30/11,F
9864,1/13/13,4.95,4/23/12,I
9864,1/13/13,23.97,4/23/12,I
123,1/14/13,10.74,10/25/02,B
29,1/14/13,4.72,8/20/08,B
1817,1/14/13,17.31,11/22/10,D
772,1/14/13,22.32,1/14/13,J
676,1/14/13,3.13,1/7/11,J
1756,1/14/13,10.97,7/1/13,G
1873,1/14/13,87.6,12/22/14,I
1778,1/14/13,17.51,7/1/13,H
4138,1/14/13,74.41,7/25/13,O
4137,1/14/13,18.6,7/25/13,D
4309,1/14/13,10.06,8/1/13,A
4550,1/14/13,43.26,7/25/13,H
4550,1/14/13,4.12,7/25/13,H
2597,1/14/13,62.81,7/2/13,L
5771,1/14/13,9.5,1/29/14,B
7812,1/14/13,45.22,2/24/05,B
8249,1/14/13,10.74,7/26/11,C
4900,1/14/13,12.49,1/2/14,E
8503,1/14/13,6.6,8/23/10,G
6677,1/14/13,17.67,10/5/05,B
9509,1/14/13,173.86,10/19/10,M
8481,1/14/13,16.7,1/14/13,B
390,1/15/13,9,9/9/09,N
12,1/15/13,11.91,1/20/06,E
765,1/15/13,48.88,2/28/10,M
123,1/15/13,31.16,10/25/02,B
50,1/15/13,80.57,5/14/05,B
220,1/15/13,19.37,12/8/04,E
133,1/15/13,55.11,5/15/08,M
1488,1/15/13,16.94,5/13/10,C
2106,1/15/13,16.49,9/2/11,A
1954,1/15/13,22.09,3/23/12,C
1307,1/15/13,20.25,8/21/13,G
4907,1/15/13,2.88,9/17/13,P
3956,1/15/13,15.62,3/21/14,D
2700,1/15/13,76.02,7/2/13,P
4666,1/15/13,7.43,9/17/13,C
4240,1/15/13,18.88,8/7/13,H
7632,1/15/13,17.93,5/10/06,C
7986,1/15/13,4.88,8/19/09,B
8336,1/15/13,51.07,1/15/13,D
7938,1/15/13,30.41,12/10/11,B
7880,1/15/13,20.57,6/15/10,C
9692,1/15/13,32.4,12/17/07,C
7938,1/15/13,12.57,12/10/11,B
9927,1/15/13,18.18,6/20/12,H
9974,1/15/13,44.63,1/15/13,B
608,1/16/13,10.7,4/9/08,D
76,1/16/13,31.87,12/17/04,B
50,1/16/13,39.69,5/14/05,B
122,1/16/13,58.77,1/9/09,B
289,1/16/13,18.62,3/6/12,C
1167,1/16/13,57.44,12/21/12,C
2541,1/16/13,64.84,9/16/12,J
2353,1/16/13,28.96,7/2/13,B
1593,1/16/13,5.58,10/17/12,B
3257,1/16/13,29.54,7/1/13,I
3973,1/16/13,11.7,1/16/13,C
2352,1/16/13,74.79,7/25/13,I
4253,1/16/13,10.45,12/20/14,D
3487,1/16/13,114.68,7/2/13,B
4781,1/16/13,105.79,7/25/13,I
4268,1/16/13,61.98,4/25/14,I
5008,1/16/13,0,1/9/14,H
4377,1/16/13,19.01,8/21/13,L
2352,1/16/13,22.29,7/25/13,I
6890,1/16/13,4.42,5/16/12,L
9059,1/16/13,53.52,9/29/04,C
7416,1/16/13,0,12/3/12,H
8249,1/16/13,26.44,7/26/11,C
8058,1/16/13,26.78,11/3/12,D
35,1/17/13,73.27,3/15/09,K
691,1/17/13,107.9,1/1/01,C
14,1/17/13,10.33,6/24/04,F
766,1/17/13,18.56,10/26/09,B
762,1/17/13,22.73,11/1/09,C
1044,1/17/13,5.17,3/5/10,B
1405,1/17/13,35.5,6/7/07,I
660,1/17/13,26.87,9/9/12,H
167,1/17/13,39.63,11/15/10,B
1962,1/17/13,5.37,1/17/13,H
1465,1/17/13,44.86,2/4/11,B
2062,1/17/13,21.44,1/31/12,M
1270,1/17/13,27.05,1/24/11,C
1694,1/17/13,46.71,7/1/13,B
7283,1/17/13,11.82,1/6/12,G
8245,1/17/13,42.45,1/17/13,M
8902,1/17/13,8.92,1/21/10,A
8979,1/17/13,75.21,1/17/13,G
9254,1/17/13,84.86,1/17/13,I
7251,1/17/13,67.37,11/12/14,G
134,1/18/13,9.5,1/1/01,B
53,1/18/13,44.15,3/23/00,B
46,1/18/13,43.26,11/18/08,B
124,1/18/13,30.35,2/11/10,J
124,1/18/13,88.99,2/11/10,J
43,1/18/13,43.57,8/21/02,B
388,1/18/13,13.22,1/18/10,B
1443,1/18/13,27.51,10/19/11,B
1930,1/18/13,18.14,4/16/10,B
715,1/18/13,19.57,10/16/15,B
715,1/18/13,7.51,10/16/15,B
715,1/18/13,18.81,10/16/15,B
3611,1/18/13,34.96,7/1/13,G
4625,1/18/13,54.55,9/17/13,H
5621,1/18/13,73.55,8/1/13,I
4465,1/18/13,40.07,7/2/13,D
4366,1/18/13,30.12,8/21/13,G
3312,1/18/13,11.52,7/1/13,E
6729,1/18/13,25.62,4/5/14,I
3500,1/18/13,34.29,7/25/13,D
9166,1/18/13,19.26,1/16/04,M
7659,1/18/13,24.79,11/30/07,S
7812,1/18/13,56.84,2/24/05,B
8959,1/18/13,40.68,4/4/09,C
7812,1/18/13,23.47,2/24/05,B
68,1/19/13,18.18,1/1/01,B
232,1/19/13,9.88,6/22/04,B
14,1/19/13,33.37,6/24/04,F
577,1/19/13,8.26,6/29/09,C
338,1/19/13,92.93,7/19/09,H
652,1/19/13,32.16,4/11/11,B
174,1/19/13,15.66,12/24/99,B
120,1/19/13,20.5,10/10/09,I
458,1/19/13,11.16,1/29/11,H
174,1/19/13,28.02,12/24/99,B
1499,1/19/13,34.19,7/11/12,E
1503,1/19/13,36.63,4/11/10,B
1364,1/19/13,12.53,8/6/10,B
1990,1/19/13,4.73,6/25/06,B
1446,1/19/13,20.66,9/13/11,M
2266,1/19/13,1.65,1/19/13,K
309,1/19/13,42.15,2/4/12,B
872,1/19/13,30.87,10/3/12,C
47,1/19/13,53.68,6/29/12,E
2433,1/19/13,11.16,1/19/13,I
1901,1/19/13,79.69,10/8/11,C
2946,1/19/13,31.41,12/14/12,C
1661,1/19/13,16.01,7/1/13,C
1649,1/19/13,87.81,7/1/13,S
2486,1/19/13,15.12,9/2/13,G
4510,1/19/13,61.98,7/2/13,I
5058,1/19/13,37.6,12/14/14,A
1661,1/19/13,47.05,7/1/13,C
5355,1/19/13,34.3,8/21/13,B
4281,1/19/13,9.06,11/4/13,G
5102,1/19/13,13.21,5/3/14,A
4371,1/19/13,14.89,11/4/13,S
6554,1/19/13,133.91,1/19/13,I
5496,1/19/13,22.14,3/21/14,G
7004,1/19/13,0,4/24/04,S
8276,1/19/13,29.66,3/27/07,B
8853,1/19/13,96.52,8/9/11,H
8899,1/19/13,18.59,3/7/08,B
8971,1/19/13,31.24,6/10/09,G
7548,1/19/13,11.98,1/19/13,H
9916,1/19/13,0,1/19/13,H
8364,1/19/13,15.94,5/25/09,G
7148,1/19/13,28.92,10/17/06,B
67,1/20/13,26.34,11/30/08,J
245,1/20/13,19.44,11/13/10,H
57,1/20/13,19.14,11/14/13,C
33,1/20/13,11.16,3/17/05,C
134,1/20/13,14.01,1/1/01,B
402,1/20/13,38.64,2/7/05,B
1019,1/20/13,56.91,3/17/11,I
96,1/20/13,17.85,1/11/08,M
765,1/20/13,31.75,2/28/10,M
652,1/20/13,3.3,4/11/11,B
418,1/20/13,2.48,11/20/07,G
865,1/20/13,2.25,4/29/12,C
518,1/20/13,1.66,1/25/03,B
865,1/20/13,20.15,4/29/12,C
1201,1/20/13,20.58,8/18/11,I
1417,1/20/13,22.73,3/2/07,B
2319,1/20/13,15.29,10/25/12,C
3128,1/20/13,4.13,7/1/12,M
3177,1/20/13,23.17,12/31/12,M
2990,1/20/13,32.31,7/1/13,H
5194,1/20/13,5.2,1/9/14,B
6292,1/20/13,19,6/23/09,G
8209,1/20/13,13.25,3/13/09,M
7255,1/20/13,45.04,5/28/12,D
8736,1/20/13,129.02,1/20/13,M
8736,1/20/13,247.67,1/20/13,M
9942,1/20/13,39.08,1/20/13,A
18,1/21/13,22.31,7/24/04,I
44,1/21/13,0,1/1/01,B
729,1/21/13,21.47,5/27/10,B
44,1/21/13,58.84,1/1/01,B
59,1/21/13,15.04,2/14/07,B
546,1/21/13,4.75,12/8/07,E
1216,1/21/13,67.77,9/21/10,C
388,1/21/13,20.74,1/18/10,B
388,1/21/13,24.47,1/18/10,B
490,1/21/13,9.5,9/11/09,H
5,1/21/13,46.61,9/17/02,B
1783,1/21/13,35.44,7/2/13,P
1756,1/21/13,24.76,7/1/13,G
2342,1/21/13,10.74,7/1/13,G
2486,1/21/13,42.98,9/2/13,G
3326,1/21/13,323.86,11/12/14,G
3641,1/21/13,21.9,8/1/13,A
5208,1/21/13,8.16,11/4/13,G
3637,1/21/13,4.52,7/2/13,N
4465,1/21/13,39.3,7/2/13,D
4253,1/21/13,8.25,12/20/14,D
4918,1/21/13,0,12/18/13,H
2899,1/21/13,313.23,7/1/13,M
5337,1/21/13,50.05,11/4/13,M
5798,1/21/13,15.75,1/9/14,D
9311,1/21/13,25.21,12/20/09,M
7895,1/21/13,25.19,4/13/11,B
13,1/22/13,12.39,12/19/07,C
27,1/22/13,57.85,5/27/04,F
27,1/22/13,17.35,5/27/04,F
266,1/22/13,77.64,5/3/08,B
264,1/22/13,3.72,6/17/04,B
50,1/22/13,35.91,5/14/05,B
1166,1/22/13,101.6,5/16/09,M
1042,1/22/13,37.15,7/24/09,H
1288,1/22/13,53.79,11/14/13,M
1488,1/22/13,42.17,5/13/10,C
1470,1/22/13,28.48,10/15/12,D
1366,1/22/13,28.23,2/16/12,B
3286,1/22/13,10.51,12/15/12,I
3753,1/22/13,14.04,7/1/13,M
3611,1/22/13,67.68,7/1/13,G
4309,1/22/13,16.1,8/1/13,A
5820,1/22/13,5.77,1/9/14,B
6868,1/22/13,77.26,1/11/13,D
5545,1/22/13,37.6,1/9/14,G
7805,1/22/13,44.63,4/14/12,L
8133,1/22/13,9.41,10/13/09,B
8673,1/22/13,8.83,10/25/07,Q
9567,1/22/13,20.17,9/9/11,M
8261,1/22/13,44.63,1/22/13,O
232,1/23/13,8.68,6/22/04,B
72,1/23/13,23.51,5/6/08,G
12,1/23/13,121.11,1/20/06,E
448,1/23/13,33.72,1/17/09,B
292,1/23/13,16.25,1/3/07,E
658,1/23/13,29.27,11/29/10,I
4,1/23/13,29.72,7/28/11,B
310,1/23/13,29.41,11/14/10,M
4,1/23/13,37.56,7/28/11,B
1911,1/23/13,24.75,8/30/07,H
1008,1/23/13,8.68,3/18/10,B
2393,1/23/13,44.93,1/23/13,H
310,1/23/13,79.55,11/14/10,M
1745,1/23/13,137.6,6/6/13,O
1897,1/23/13,31.4,8/1/13,O
4666,1/23/13,8.26,9/17/13,C
5085,1/23/13,29.51,1/29/14,D
4161,1/23/13,52.87,11/17/14,M
5947,1/23/13,14.15,8/31/09,G
8984,1/23/13,29.74,5/23/09,G
117,1/24/13,19.79,8/12/05,B
50,1/24/13,18.6,5/14/05,B
149,1/24/13,52.56,1/1/01,B
625,1/24/13,25.75,2/12/08,G
38,1/24/13,7.6,4/3/11,B
1215,1/24/13,20.74,1/2/11,N
25,1/24/13,9.5,1/1/01,B
94,1/24/13,40.12,3/21/08,C
1269,1/24/13,10.74,4/19/11,I
762,1/24/13,8.68,11/1/09,C
615,1/24/13,11.16,9/30/03,B
1270,1/24/13,15.72,1/24/11,C
373,1/24/13,18.93,10/28/10,J
4137,1/24/13,31.82,7/25/13,D
2990,1/24/13,17.44,7/1/13,H
4177,1/24/13,27.45,7/1/13,M
4113,1/24/13,10.74,7/25/13,C
4334,1/24/13,29.75,7/25/13,C
3083,1/24/13,6.6,1/20/15,S
4626,1/24/13,152.48,8/21/13,B
5895,1/24/13,23.6,11/11/14,I
4439,1/24/13,11.14,12/3/13,P
9134,1/24/13,16.45,10/11/03,A
7212,1/24/13,77.79,3/23/11,P
6484,1/24/13,34.45,1/24/13,E
97,1/25/13,33.72,7/13/09,M
454,1/25/13,39.26,2/4/12,B
50,1/25/13,27.87,5/14/05,B
657,1/25/13,24.88,10/2/09,B
340,1/25/13,3.72,4/18/07,E
739,1/25/13,19.01,9/14/11,N
1002,1/25/13,10.7,11/14/13,B
877,1/25/13,49.39,11/2/12,J
2445,1/25/13,5.26,9/24/10,M
2730,1/25/13,16.84,3/4/12,N
1434,1/25/13,49.34,1/25/13,C
5217,1/25/13,17.02,4/15/14,S
3376,1/25/13,96.28,12/3/13,G
4268,1/25/13,23.14,4/25/14,I
7702,1/25/13,55.79,1/25/13,C
5771,1/25/13,9.08,1/29/14,B
8410,1/25/13,127.56,3/7/12,A
9023,1/25/13,11.56,1/25/13,A
6890,1/25/13,26.34,5/16/12,L
9586,1/25/13,31.67,1/25/13,R
9656,1/25/13,44.22,1/25/13,D
93,1/26/13,20.66,1/1/01,B
365,1/26/13,44.01,10/21/04,B
209,1/26/13,14.75,10/24/03,B
57,1/26/13,35.12,11/14/13,C
185,1/26/13,37.79,8/10/09,C
397,1/26/13,48.19,7/25/07,B
44,1/26/13,41.74,1/1/01,B
132,1/26/13,28.1,11/26/99,B
924,1/26/13,30.82,11/18/08,L
1106,1/26/13,11.78,11/25/10,P
1165,1/26/13,22.27,2/12/02,B
1810,1/26/13,40.05,5/14/10,I
1264,1/26/13,17.82,12/27/08,C
1123,1/26/13,23.1,11/6/10,C
2351,1/26/13,39.54,1/26/13,J
1475,1/26/13,11.53,4/28/12,M
2841,1/26/13,16.53,1/26/13,O
1772,1/26/13,154.55,1/26/13,M
1863,1/26/13,10.57,9/15/11,M
740,1/26/13,26.7,10/1/12,B
2983,1/26/13,7.44,7/1/13,C
1972,1/26/13,91.53,7/1/13,A
3811,1/26/13,38.82,7/2/13,O
3717,1/26/13,23.05,9/2/13,B
1986,1/26/13,27,7/2/13,B
4577,1/26/13,50,7/25/13,I
4893,1/26/13,11.24,1/14/14,C
4651,1/26/13,49.59,11/4/13,A
5252,1/26/13,0,9/17/13,O
4550,1/26/13,29.42,7/25/13,H
5219,1/26/13,78.5,3/21/14,E
4364,1/26/13,6.06,12/3/13,G
7285,1/26/13,25.36,11/10/14,D
6204,1/26/13,55.37,4/18/14,F
6287,1/26/13,35,3/21/14,N
6890,1/26/13,59.8,5/16/12,L
5968,1/26/13,22.73,11/28/13,B
8713,1/26/13,5.66,8/16/10,H
9710,1/26/13,13.22,1/3/11,D
9943,1/26/13,8.74,1/26/13,D
514,1/27/13,37.96,10/7/07,D
574,1/27/13,4.13,2/20/10,D
782,1/27/13,24.43,4/4/09,C
1582,1/27/13,22.16,12/4/08,G
1288,1/27/13,23.17,11/14/13,M
565,1/27/13,28.76,10/30/10,B
1772,1/27/13,14.38,1/26/13,M
2192,1/27/13,46.87,12/20/10,B
28,1/27/13,91.54,4/16/11,J
2809,1/27/13,45.7,4/4/12,K
2990,1/27/13,6.19,7/1/13,H
28,1/27/13,17,4/16/11,J
1820,1/27/13,69.42,7/2/13,C
4510,1/27/13,34.71,7/2/13,I
4510,1/27/13,18.18,7/2/13,I
4574,1/27/13,15.16,8/21/13,P
